img_url,input
https://mass.alipay.com/medaicore/afts/img/DDqaTJCApZYAAAAAgDAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=6DBbfxzMBAWs_4doxCUW3N4PBzkjtKD2VoO86CXCHygDAAAAZAAA52Jpivbt,"{
  ""result"": ""不准确"",
  ""reason"": ""没有识别出食物的口味"",
  ""real_food_list"": [
    ""米多奇 烤香馍片香烤原味""
  ],
  ""bh_output"": [""米多奇烤香馍片""]
}"
https://mass.alipay.com/medaicore/afts/img/lSEnSJuFiIoAAAAAZeAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=ManjOdJNW_1J-2M-I53RaMVUIgwFwtd5tXwnGL0CQwgDAAAAZAAA52Jpivcw,"{
  ""result"": ""不准确"",
  ""reason"": ""AI未识别出“鸡胸肉卷饼”为复合食物整体，应整体标注而非拆分；煎豆腐块应为卷饼内馅，非独立菜品。"",
  ""real_food_list"": [
    ""鸡胸肉卷饼""
  ],
  ""bh_output"": [""生菜叶"",""紫甘蓝丝"",""胡萝卜丝"",""鸡胸肉卷饼"",""煎豆腐块""]
}"
https://mass.alipay.com/medaicore/afts/img/otdNSJbxCzoAAAAAAAAAAAAAomLnAABr/1024w_1024h_1l_60q_1fsa?t=M39Q3LXQzExdMDysEi0P6il9hOCUr24CUg_YBiezlNoDAAAAZAAA52Jpivbz,"{
  ""result"": ""不准确"",
  ""reason"": ""图片中的食物为馒头，模型识别为奶酪。"",
  ""real_food_list"": [
    ""馒头""
  ],
  ""bh_output"": [""奶酪""]
}"
https://mass.alipay.com/medaicore/afts/img/gny6RoyH8V8AAAAAgEAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=3467C_QHaumKsBA1DM1skhX4PPoMwYzCJ5A3laFEM0ADAAAAZAAA52Jpivb2,"{
  ""result"": ""不准确"",
  ""reason"": ""花生米识别错误，应识别为炸蚕豆。"",
  ""real_food_list"": [
    ""肉丸汤"",
    ""炒豆皮"",
    ""炒笋丝"",
    ""炒蘑菇"",
    ""炒茄子"",
    ""炸蚕豆""
  ],
  ""bh_output"": [""花生米"",""炒笋丝"",""肉丸汤"",""炒蘑菇"",""炒茄子"",""炒豆皮""]
}"
https://mass.alipay.com/medaicore/afts/img/HaUhQoVXWMwAAAAAgDAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=gdkHvrrP39YR6MIJRNQnqVwFaJRcqOOzFyzMsHKuux8DAAAAZAAA52Jpivb1,"{
  ""result"": ""不准确"",
  ""reason"": “图片中是肉丁误识为肉丝，图片中的鸡蛋应该是煎蛋碎，模型未识别出炸鱼排和炒蘑菇，且图中无宫保鸡丁、豆干炒肉片"",
  ""real_food_list"": [
    ""馒头"",
    ""木耳炒肉丁"",
    ""煎蛋碎"",
    ""清炒生菜"",
    ""油炸花生米"",
    ""清炒菠菜"",
“炸鱼排”，
炒蘑菇
“青椒”
  ],
  ""bh_output"": [""清炒菠菜"",""馒头"",""青椒炒蛋"",""宫保鸡丁"",""炒生菜"",""油炸花生米"",""木耳炒肉丝"",""豆干炒肉片""]
}"
https://mass.alipay.com/medaicore/afts/img/eqizSpynmnEAAAAAf0AAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=u0z0VGWk5b9_sm0vMufksgzCCJ8o5FIvdZKQgz9egycDAAAAZAAA52Jpivb8,"{
  ""result"": ""不准确"",
  ""reason"": ""图中无紫菜蛋花汤，左侧小碗为深色汤汁；无白米饭，右侧为主食馒头，且图中不是肉片炒菠菜，应该是肉片炒青菜"",
  ""real_food_list"": [
    ""肉片炒青菜"",
    ""炒青菜"",
    ""馒头"",
    ""深色汤汁""
  ],
  ""bh_output"": [""紫菜蛋花汤"",""白米饭"",""炒青菜"",""肉片炒菠菜""]
}"
https://mass.alipay.com/medaicore/afts/img/s9qjRoDjxsEAAAAAgDAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=eqo_Gwn8PZUlZvYDjeNIp-mx4YcaY6xtu_N9x5ZJhZADAAAAZAAA52JpivwL,"{
  ""result"": ""不准确"",
  ""reason"": ""豆芽炒肉丝识别错误，应为炒豆芽，清蒸鸡腿肉应该为清蒸鱼块，鸡汤应为小米南瓜稀饭。"",
  ""real_food_list"": [
    ""白米饭"",
    ""炒青菜"",
    ""炒豆芽"",
    ""炸鸡块"",
    ""清蒸鱼块"",
    ""小米南瓜粥""
“西兰花”
  ],
  ""bh_output"": [""炒青菜"",""豆芽炒肉丝"",""白米饭"",""西兰花"",""鸡汤"",""炸鸡块"",""清蒸鸡腿肉""]
}"
https://mass.alipay.com/medaicore/afts/img/8GAdSbgFZ5kAAAAAQeAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=CpyjxMYEkdt9p5mNa_2vcXUy9dAYFyjujf5jaRh9GHUDAAAAZAAA52JpivcG,"{
  ""result"": ""不准确"",
  ""reason"": ""图中为蛋堡，非肉松小贝；二者食材、热量结构差异大，影响营养评估。"",
  ""real_food_list"": [
    ""蛋堡""
  ],
  ""bh_output"": [""肉松小贝""]
}"
https://mass.alipay.com/medaicore/afts/img/RiGARZNLlJsAAAAAgBAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=UADdfPxREPkCxKQm6EMciv3HxsW7Cx1gp8IjYjhYNgUDAAAAZAAA52JpivcP,"{
  ""result"": ""不准确"",
  ""reason"": ""图片中为莲子壳，模型识别为青梅"",
  ""real_food_list"": [
    ""莲子壳""
  ],
  ""bh_output"": [""青梅""]
}"
https://mass.alipay.com/medaicore/afts/img/4kcrSqw9FBYAAAAAgBAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=aG8P6AoXpDHQlZn8IvGfE5eoeRYz-2EklHz6-F-DuSQDAAAAZAAA52JpivwR,"{
  ""result"": ""不准确"",
  ""reason"": ""图中不是煮鸡蛋，应为煮土豆；鸡胸肉应为洋葱炒鸡胸肉。"",
  ""real_food_list"": [
    ""煮土豆"",
    ""洋葱炒鸡胸肉"",
    ""炒卷心菜""
  ],
  ""bh_output"": [""炒卷心菜"",""鸡胸肉"",""煮鸡蛋""]
}"
https://mass.alipay.com/medaicore/afts/img/zyJOSIfhVHYAAAAAgDAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=DE15-bLZosbpDXcvEA6AIAtknF5x5-9RHWhHJJ6fbNQDAAAAZAAA52JpivwM,"{
  ""result"": ""不准确"",
  ""reason"": ""品牌名称识别错误。"",
  ""real_food_list"": [
    ""咔丽滋 红豆手撕面包""
  ],
  ""bh_output"": [""味滋源红豆手撕面包""]
}"
https://mass.alipay.com/medaicore/afts/img/2s-pSLyoWDQAAAAAbrAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=Mika_wREPgIoORqfP3uyP8M6rkc32l0-i0kHwb4zYwYDAAAAZAAA52JpivwN,"{
  ""result"": ""不准确"",
  ""reason"": ""主菜炒鱿鱼应为炒鸡肉块，且图片中无胡萝卜片，作为一道整体菜不需要拆分"",
  ""real_food_list"": [
    “豆角炒鸡块”
  ],
  ""bh_output"": [""炒鱿鱼"",""胡萝卜片"",""四季豆"",""黄椒片"",""蒜末""]
}"
https://mass.alipay.com/medaicore/afts/img/iVtlSauCoXgAAAAAb7AAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=UCQ6z3zuDFKrXVd_3B7jyM6nQChtxQBfZXHbybxvJ7kDAAAAZAAA52Jpivch,"{
  ""result"": ""不准确"",
  ""reason"": ""品牌名称不正确"",
  ""real_food_list"": [
    ""蜜雪冰城 青提肉多多饮品""
  ],
  ""bh_output"": ""雪冰城青提肉多多饮品""
}"
https://mass.alipay.com/medaicore/afts/img/YnvtRJfznpEAAAAAgDAAAAgAomLnAABr/1024w_1024h_1l_60q_1fsa?t=UrAitE66X8bxIZV3z_2EnkemCzFXlyRFDIfKPr7o3rYDAAAAZAAA52Jpivwz,"{
  ""result"": ""不准确"",
  ""reason"": ""模型没有识别出汤中的木耳、豆腐"",
  ""real_food_list"": [
    ""蛋花木耳豆腐汤""
  ],
  ""bh_output"": [""蛋花汤""]
}"
